"Date: 2023-04-01+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","日记","03月31日 周五 晴 苏黎世","NOTE","","今天是轻松的一天。
上午：早上起晚了，但是还是老实的吃了早饭。到学校才知道Kiven昨晚一直做到凌晨四点，教室里已经有了我们设计的上半部分，上午我的第一个工作就是用热风枪把两部分粘在一起。之后我决定继续打印，又打印了一个质量极高的下半部柱体。之后Ramon过来，我们交谈了很多，同时教他 我们使用的算法。 
午餐：餐盒好吃，吃完休息了一下，醒来发现Kiven已经出现在了我身后。
下午：下午我们小组有简短的讨论，但基本上都在做自己的事，并且准备desk critic。两点多看到Yael和两位老师过来desk critic，我主动要求第二个评，因为能让他们见证到打印的极限。一边评一边打，老师也是很惊讶我们的成果，大多数评价都是表扬和鼓励。我在讲述的时候也特别提到我们的团队合作，每个人 都有相应的贡献——也是间接表彰了Kiven，即为Yael对他的印象正名，又让他本人体会到关怀。结束后我们都很满意也很开心，我主动提出我们一起转一转放松下，之后我们的生产力也并不高。在此期间我完成了个人网站里日记页面的更新，还有移动端的显示、标题显示效果等内容还未完成。
","N","","","","","0","0","2023-03-26T22:42:26+0000","","-48653389529104","Europe/Zurich","false","false",,,"list","6",""
"","日记","03月25日 周六 小雨转阴 苏黎世","NOTE","","今天是交作业的一天。
上午：早早到学校，上午主要是把Rhino Meeting的推文和网页发布了出去。

午餐：餐盒不错。

下午：两点前基本完成compas作业。之后跟小陈视频，视频之后心情明显好了很多，也算是清除了部分之前的压抑。之后继续做RV的作业。

晚餐：餐盒还行，但是连吃五餐的溜肝尖已经有点腻了，幸亏今晚会做新的菜品。

晚上：RV做完提交后就做advanced computational design的作业，还差一点收尾就要准备回家了吧到家做了五个豆角炒肉加烤鸡翅的餐盒，洗澡睡觉。愿 ：明天再多做点！goodnight！
![image](641f85a151f83ad109f88386/1679787425477.jpg)
![image](641f85a151f83ad109f88389/1679787425517.jpg)
","N","","","","","0","0","2023-03-25T23:28:43+0000","","-48378511622160","Europe/Zurich","false","false",,,"list","7",""
"","日记","03月24日 周五 小雨 苏黎世","NOTE","","今天是运动快乐的一天。
上午：拿个香蕉当早餐，到学校一边吃一边做事。上午没什么特别的，Abhipsa要我做啥我做啥，不争不抢不说话，佛系打工人。

午餐：餐盒好吃，吃完餐盒吃香蕉，吃完香蕉睡觉觉，睡完觉觉喝咖啡，下午精精神神。

下午：继续做事，没啥特别做的，于是就琢磨把巴塞尔的事情发朋友圈。下午三点多Benjamin来desk critic，建议挺好的，评论也是正确的，我们的确四个人做四个事。Yuki不断问Benjamin也在不断带动小组方向，最终她成了“胜者”，我觉得挺好。
之后我就去HIL教杨锦涛GH

晚餐：餐盒好吃，吃完跟家里人打了一会儿视频。

晚上：在HIL整理了一些文件，之后把巴塞尔的事情发了LinkedIn，九点跟Chenming去健身。一跟这家伙健身就是被他带得无精打采，每次练啥都是“点到为止”不倾尽全力，但到了十点多打篮球就激情了。两轮单挑我赢，最后4：5赛点激情，也算是很不错的一个晚上。跟他聊天的内容经常都是有深度的爱情、人生、职业，结论大多都是人生并无意义，毕竟大家来自五湖四海，有的多活了两年有的少活了两年，但似乎差别不大，都没发财。愿 ：明天作业整完！goodnight！
![image](641e3c9151f83ad109f88185/1679703184991.jpg)

","N","","","","","0","0","2023-03-25T00:05:07+0000","","-48103633715216","Europe/Zurich","false","false",,,"list","8",""
"","日记","03月23日 周四 阴 苏黎世","NOTE","","今天是正常，专注做菜的一天。
上午：到学校正常做事，但是仍然对Yuki畏怯三步。上午也并没有完成什么RV的作业。
Georgia十点钟过来教我们怎么用楼下的打印机，她热心的教了我们很多。

午餐：为了等大家一起吃饭，一点多才动身。这次大家基本上都是自带食物，一边吃一边聊着有的没的。我因为太困，吃完回来还睡了一下，之后喝了一杯咖啡。

下午：主要是做grasshopper。Yuki一直在教室里所以我也没有那么精神紧张。下午最重要的事情是和小陈商量买机票成功，此事基本坐实，静待花开。
之后打印了一些零碎的零件测试，五点多准备买东西回家做饭。为了发文件，我甚至在回家路上的Orlikon汽车站打开了电脑。

晚餐：做了很多东西，溜肝尖做出来真的很好吃，蚝油生菜也不错，后面因为实在太撑没有吃完而留下了一些炸鳕鱼块和薯条。一共做了四个餐盒和三天的早饭，今晚吃得撑着不行。

晚上：做完饭就很晚了，玩会手机洗个澡睡觉。愿 ：长相思，长相守！goodnight！
![image](641cdd6f677887261ce7d33f/1679613295708.jpg)
","N","","","","","0","0","2023-03-23T23:07:49+0000","","-47828755808272","Europe/Zurich","false","false",,,"list","9",""
"","日记","03月22日 周三 晴 苏黎世","NOTE","","今天是受到各种帮助的一天。
上午：早上起来一身轻松，没背包没拿餐盒，手插口袋就直接去学校了。到学校还是比较活跃的，但是Yuki一来我就变得越来越紧张，也不爱说话了。上午的desk critic老师们都很包容，也给我们提了很多意见，我不记得了，因为全程我都没说话也不想说话。之后的小组合作中，我也只是唯唯诺诺，要我干什么就干什么。毕竟我说什么Yuki也并不会听和尊重。只是上午她又放弃了她的minimum surface，开始做多面体建模。

午餐：没有带餐盒，也决定跟大家一起去physics楼吃饭，食物好吃，跟大家聊天更是让我心情舒畅不少。大家鼓励我，帮助我，并且希望我坚持自己，被她利用或者给她做事，不仅是害了自己，也害了她。吃完大家特地带着我在太阳下绕着学校走了一圈，顿时感觉心里温暖。一路上Ramon说let me know if you need anything, we all help you.

下午：到教室简短而无效的讨论后，我趴了一下，然后去教杨锦涛GH，之后又跟小陈视频，总之就是把方案的事情看得很淡。小陈给我的建议和陪伴也是我莫大的力量，尤其是在我于困境之时。五点多，我计划离开学校。

晚餐：到家就马不停蹄做饭，两个烤箱同时打开，在半个多小时就做好了很多东西，这也是我第一次一次性做6个人的餐食。本来只是4人的，但很明显Kiven和Nijat都是为了陪伴和照顾我所以过来的。总之上菜很快，我们也吃得很开心。薯条、烤鸡、烤鸭、烤鸡翅、薯片、培根肉、生菜，男生的快乐就是这么简单。

晚上：吃完后开始理发，Lihin和Chenming在厕所互相理了一个多小时，期间我跟Kiven, Jerry和Nijat在楼下打台球，大家都打得很开心，也做了不少俯卧撑。Chenming给我的理发因为业务熟悉所以非常快。做完这些，洗澡，洗衣服，清理厕所，送走朋友，做了一个明天的餐盒，晾衣服，睡觉。今天真的很感谢所有人帮助我走出阴霾。愿 ：快乐长存！goodnight！
![image](641b96a751f83eaf22f0d683/1679529639486.jpg)
","N","","","","","0","0","2023-03-22T23:24:25+0000","","-47553877901328","Europe/Zurich","false","false",,,"list","10",""
"","日记","03月21日 周二 阴 苏黎世","NOTE","","今天是drama的一天。
上午：早上起来去学校，没什么特殊，只是大家到得又比较晚，慢慢悠悠也一直没开始做事。十点多Yael进来我们准备大扫除，大扫除也挺好的，无非就是整理，有些人并没有热衷插手也是正常的。下电梯的时候我特意跟Yael提到我们上个组合作很完美，昨晚大家都在组里道别，说'alligator see you later'。
清理过程中我被要求和Yuki一起去洗手套，途中她不断强调对这个MAS十分失望，自己在学ROS，而我却觉得她并没有对学ROS有清晰定位。

之后的讨论其实没有什么成效，毕竟我们都没拿出什么东西来，所以只能尴尬的说下午两点再碰面。只是Yuki一开始就说她不准备用Axolotl，因为她认为这对她的职业没有帮助；又说她只想用最小的努力完成这个方案就好，当时我就觉得这次合作会是一次非常难打的仗。

午餐：热了餐盒，吃着还不错，一边吃一边跟Lihin聊credit suiss倒闭的事情。

下午：小组合作，讨论偏向激烈。当我，Brian和Abhipsa都倾向某个方向的时候，Yuki坚持自己的minimum surface，显然她坚持要做。 'I am not trying to persuade you' 'Whatever I will do it' 'I don't want to work on the tedious thing, and mine looks very beautiful' 'I know Benjamin' 这些话听着都很重而且绝对，使我们很难跟她交流。她决定自己做出来，而我们则在为明天的desk critic做准备。

下午的其余时间变得非常的尴尬和无聊，其他组显然都还气氛不错。我感觉我能做的就是吧slide做好。

晚餐：并没有吃。

晚上：五点钟，Abhipsa离开学校，我准备补一补RV的作业然后直接去找Joe，结果事情并没有想象的那么顺利。
Yuki找到我要跟我聊聊，我心惊胆战。出了门她就开始哭，说到Yael也说有什么想法就应该去试，多个设计也不是不可以，为什么大家都不接纳她的设计，忽略她。说着说着，越哭越烈，觉得以前小组的问题在于Chenming和其他人都忽略她的看法，导致她最后的mockups都是她一个人做的，而今天她花了一整天用Axolotl做东西也没有做出来。她甚至提到她觉得Asian只听外国人的想法不听她的想法，觉得Asian cheap，也提到她在这里都找不到一位可以跟她讲知心话的女性朋友。她说她好像给人感觉特别自大，但她其实不是…
一个多小时停下来，我错过了Joe妈妈的生日晚餐，觉得她讲的都是mmp，但我无法在一个疯狂哭泣的女生身上再补一刀，无奈之至。
我感觉她是情绪上来，趁着这股情绪来指责我，而并没有在真正的反思。并且这种只听别人的好话，忽略他人建议的方式让她变得更加自以为是和自尊心强。
聊天过程中我实际有录音，打开手机她看到界面，不知道她是否已经意识到我的不信任。
8点跟他讲完，在教室里回响良久。还帮她简单做了点设计当是安慰。
9点多准备去Joe的地方，上到天台跟Mary说生日快乐，跟大家痛快的聊天。Mary走后我们敞开心扉聊了不少，感谢所有人都在帮助我，顶我和支持我。愿 ：MAS结果良好！goodnight！
![image](641a472a51f83eaf53305d18/1679443754628.jpg)
","N","","","","","0","0","2023-03-21T19:37:08+0000","","-47278999994384","Europe/Zurich","false","false",,,"list","11",""
"","日记","03月20日 周一 晴 苏黎世","NOTE","","今天是信息量巨大的一天。
上午：早早到学校，打扫，听课，大家都顺着Yael的笑眯眯而笑眯眯。但是大家都很清楚今天是洗牌后的新秩序，因此都很专注，都很小心。
上午无非就是介绍T2 DBT的内容，没什么很特别的，3D printing joint也不少很新奇的内容，除了感觉Matthias和Marirena没什么亲和力外并无它感。因为签署了保密协议，上午连照片都没拍几张，反倒因为用相机而使得Matthias不悦。
倒是电脑不断切换到实时股票行情，眼睁睁看着CSX跌了百分之六十，瑞士第二银行160多年的积蓄基本上一天就蒸发了。虽说冰冻三尺，但也不禁唏嘘世事之变。连瑞士银行都能倒闭，瑞士市场都能出现信任危机，世界经济脆弱可见一斑，三十年河东，三十年河西了。可是，瑞信倒闭有整个瑞士政府拨钱，改法，逼人兜着，老祖宗的金条还是取之不尽，用之不竭，美国的银行又该向谁要钱，中国的银行又该找谁要钱呢？
疫情，战争，流感，政权，金融，自2020年以来这个世界动荡不安，谁知道我当年隐约的直觉却一语成谶。张卓不是一个心忧天下的人，但越来越感觉天下既自己，自己既天下，台风起来猪都会飞，铁幕降下无人能逃。自2020年以来，感情的调整，疫情的阻力，未来的不定，在升学方面荡来荡去，在人生转折点来到瑞士。当下，又对项目的看法不断改变，对NCCR的funding丧失信心，对整个建筑行业形势看衰。生不逢时，无话可说。
有趣的是这次分组不是自由，而是被安排。很明显Yael把之前的三个组通通拆开，给予了Ahmad格外照顾。同时在后面的guideline中提到我们不准说中文，不准单独决策等问题，我只觉得奇怪与不公。Yael似乎并没有看到事实。

午餐：餐盒好吃，和Chenming一起吃的，吃完想睡觉没成功，趴了一下又起来喝了咖啡。

下午：主要是tutorial，没什么特殊的，Axloto是我很喜欢的概念，也是这个项目会重点使用的插件。隐式编程用于高精度3D打印构件是好马配好鞍，希望后期我们能有更多创造力。
奇迹般地，三点多我们就结束了所有事情，因为compas这周也不上，我们就这样放学了。
因为感觉自己还算闲，就和Joe一起去Orlikon接她妈妈，Mary是一位十分和蔼可亲的人。

晚餐：并没有吃。

晚上：在学校待到7点，遂决定去边境采购，搭上火车头也不回，高效到达。边境的lidl有点令人失望，但也买了少量东西，不过在Kaufland买的东西是最多的。没想到的是没有带硬币，因此只能手提不能推车。
回家路上一路搭铁路，生怕被人查自己带的超量猪肝、猪腰子、五花肉、猪板油和牛肉沫，索性只碰到一位和蔼大叔检查我的车票。回家已经很晚，整理一会就睡觉。愿 ：世界积极起来！goodnight！
![image](6418f33051f83eaf53305b39/1679356720548.jpg)
","N","","","","","0","0","2023-03-20T22:18:33+0000","","-47004122087440","Europe/Zurich","false","false",,,"list","12",""
"","日记","03月19日 周日 晴转小雨 苏黎世","NOTE","","今天是锻炼的一天。
上午：早早起来，一大早到健身房锻炼，胸部，大臂，有氧都练到了，舒爽不已，也算是把上周缺的锻炼补上来了。一直练到了十点多。不过下次还是要吃饱早餐，今天吃得有点仓促。

午餐：热了饭盒在户外的长椅上吃，太阳也不大，逐渐被云层遮挡了。吃完休息了一下。

下午：去机房学习，主要是存档、整理材料、看compas的作业。整体效率不高，也比较漫无目标，但至少还是在前进。

晚餐：饭盒好吃。

晚上：继续做compas作业。晚上回来算早，回来还吃了一些零食。看到credit suiss即将被UBS收购的消息大为震惊和恐慌——倒不是恐慌我存在credit suiss的4000CHF，而是恐慌世界经济即将再次受到冲击、恐慌金融风暴的再次上演。世界经济如月相潮水，既强大又脆弱，而向来稳健的瑞士投行居然也暴雷，160多年的瑞士信贷滑坡到如此谷底，暗流涌动的经济多米诺效应可想而知。疫情，战争，世界果然自2020年起就不再安宁，深感战战兢兢，深渊围绕。愿 ：下周一切安好！goodnight！
![image](64179b93677822ac13e911c2/1679268755847.jpg)
","N","","","","","0","0","2023-03-19T23:18:59+0000","","-46729244180496","Europe/Zurich","false","false",,,"list","13",""
"","日记","03月18日 周六 晴 苏黎世","NOTE","","今天是休息的一天。
上午：起床很晚，挣扎来挣扎去，玩了不少手机也起不来。起身全身酸疼，这周睡眠少、体力活多、精神压力大，也该好好休息下了。

午餐：煮了个面，芹菜炒肉好吃，吃完继续睡会儿。

下午：跟小陈视频，跟爸爸视频，然后简要的整理了日记和展示的材料。

晚餐：红油面皮配煎鸡蛋，好吃，同时做了三个餐盒。

晚上：主要是准备发ins的照片，效率比较低。愿 ：明天多做点事！goodnight！
![image](64164b9451f822ac9c88dd6e/1679182740619.jpg)
","N","","","","","0","0","2023-03-18T17:47:29+0000","","-46454366273552","Europe/Zurich","false","false",,,"list","14",""
"","日记","03月17日 周五 晴 巴塞尔 Rhino大会","NOTE","","今天是握手，社交，开拓眼界的一天。
上午：一大早起来赶车，为了不踩点，提前十多分钟到Orlikon，当时是早上6点多。火车一路上睡觉，但到了巴塞尔就打起精神，首先被巴塞尔的自然风光所迷倒。
一进Rhino user meeting的会场，首先拿到了名牌和水，就上楼看各个展位，一开始还比较放不开，主要是和同学在一起。直到和一位老先生聊起来，过程中知道他之前在GKR工作过，那时还没有MAS这个项目。
比较有趣的是，我们进了会场聊着聊着半路蹦出个Brine，这才知道他昨晚居然买到了一个补票。
上午的论坛主要是展示软件方面的成就，Herzog & de Meuron建筑技术部门作为组织者和东道主第一个展示，却并不是技术方面最亮眼的展示——毕竟Herzog & de Meuron和ZHA方向大不相同，我可以相信Herzog & de Meuron的技术部门仅有寥寥数人。

然而之后关于Rhino和GH的展示内容则被我认为是这一整天的高光：Rhino的整个生态环境已经十分成熟而且在高速发展，展示中透露的信息也十分有效：直击当下用户的痛点，包括.net从4.8到7的升级、CPython和IronPython同时存在的支持都在Rhino8的计划之中。Rhino Compute、官方支持three.js的3DM-Loader、WIP等内容也十分吸引人。

David Rutten上场，也让我看到了这位“蒙面网友”的真人，此时我激动不已。尤其是当他展示关于GH2的内容的时候：关于pannel的提升已经让我们对dark data有更直白的了解，类似于指针的数据显示思路是对.net使用的完美体现；同时，对于显示语法的提升也是很让人眼前一亮的概念。在David演讲完后，我实在没有按耐住心里的激动，还是举手问了一个问题：'maybe a general question, but a lot of people are concern: how does grasshopper 2 inherit the heritage of grasshopper 1 like the plug-ins?’从他的回答来看，是一个非常成功的提问：

1. 首先David回应这是一个“very unconformable”的问题，证明这正是软件开发的痛点所在；

2. 其次他承认GH2无法兼容GH1大部分插件的事实，给我们打了预防针。

3. 之后他也给出了他的解决方案：GH1是一个发展十分成熟的软件，下一个版本的Rhino很可能会同时保留GH1和安装GH2，以达到最多的功能使用。

4. 随后的演示中，他同时在他电脑的Rhino中打开GH2后直接打开GH1，我们意外的看到很多个错误窗口同时弹出。看到开发者也弹出错误窗口，我心里高兴不已——直击痛点，展示不足。

5. 最后，David展示了一个惊人的功能：在GH1中调用一个基础component，直接拖拽到了GH2的窗口中，这样GH2就有了一个GH1的component！同时他还表示：同时存在在Rhino上的GH2和GH1，交流不仅是基于component的script层面的，更是基于data的geometry层面的，也就是说GH1和GH2可以共享Meta-data数据！十分令人期待。虽然他表示component的兼容之存在于少数的component，而且Meta-data的共享十分有局限性，但技术革新令人振奋，未来可期。

随后的我们进入午间茶歇。

午餐：没人发放了一袋食物，有非猪肉类型，有纯素类型，我拿的是普通类型。在二楼和同学们一边吃一边讨论，同时也期待能和更多其他参会者讨论。吃完灌了一杯咖啡，但由于昨晚仅仅睡了4个多小时，而且下午注定犯困。

午餐后我休息我和SAEKI Robotics的展厅人员聊了聊，知道SAEKI Robotics实际上是Matthias注资的公司，并且只有三位员工（两位是工程师背景）——而他们提供给了我们将近一半的3D打印挤出头。这种微型公司的势头已经在欧洲势不可挡：今天来展示的公司有一半以上都是微型公司，例如MESH由Fabio注资，目前仅有3人+1位实习生。唯有V-ray，Adidas，Forster等公司是在场的大体量公司代表。

下午：十一点半到一点关于AEC的展示是我认为今天最无聊的环节：并非AEC无聊，我反倒十分重视AEC，而是演讲内容并没有突破我的知识界面，反倒有许多和我在xkool等公司工作的内容相重合——技术无限，市场有限。同时Carlos可能是全场最不会用电脑的人了——用他的电脑做展示简直就是噩梦，要么自动关机，要么卡在桌面让大家都看到他的个性壁纸。

两点到三点半的部分也较为一般，主要是computing的部分，像’Computing Climate’这样的课题大多是模仿ladybug等软件，对我吸引性不强。反倒是Adidas，Forster等专注于织物、鞋品、车辆建模和设计的公司似乎是本场最富有的公司，其许多不允许牌照和分享的内容格外引人瞩目。

四点到六点是制造、机械学部分，除了COMPAS外，都十分吸引我。先说COMPAS吧，这是我最崇拜也是认为最酷的开源软件之一，也是整个NCCR多年研究高浓度知识结晶中的结晶，并且我个人也在逐步步入COMPAS 100%的日常使用。但Tom的展示并没有完全绽放COMPAS的魅力，其个人演讲水平也有待提升，不过比Gonzalo要好。KUKA|crc、Digital Mainstream都是十分令人激动的展示，推进建筑产业的工业化是行业曙光之一。

晚餐：一天的展示结束，人也很累了，不过后面的社交部分也很重要，一边社交一边吃了一些食物。跟Jeroen Coenders聊天发现他可以算是和宛余算是师出同门，Packhunt.io的也和xkool有着几乎一样的发展和业务方向，只是Packhunt.io在体量和市场上远不如xkool。和Herzog & de Meuron的Michael Drobnik聊天中也得知了一些基本信息，他们的工作相比ZHA Code更加业务导向，技术革新较低。同时Michael提到其实他和David在工作之前就相互认识，相当于目睹David以一人之力开发了整个GH。

晚上：聊到7点，看到David和其他很多重要人物都已经离开，我们也准备离开。一路上我和同学聊了很多。到家，休息。愿 ：大家都有光明事业！goodnight！
![image](6415fd2951f822ac9c88dd08/1679162665677.jpg)

","N","","","","","0","0","2023-03-17T23:51:09+0000","","-46179488366608","Europe/Zurich","false","false",,,"list","15",""
"","日记","03月16日 周四 晴 苏黎世 T2Final","NOTE","","今天是修成正果，合作巅峰，高光时刻的一天。
上午：早上还是按时到学校了，Carl第一个到，因为Ramon, Joe, Nijat和Lihin都工作到了凌晨天亮才离开，而我昨晚还是午夜睡的。
到学校当然就是继续做ppt，细化，分类，一切都很井然有序，也完全没有mini project那种着急哪个讲哪块、谁超时的问题。

午餐：餐盒好吃，吃完逼自己睡了个午觉，并且醒来后请Nijat帮我拿了一杯咖啡，就是为了下午的展示能够思路清晰，反应敏捷。

